country,year,value,category
United_States,1970,,red
United_States,1971,,red
United_States,1972,,red
United_States,1973,,red
United_States,1974,,red
United_States,1975,,red
United_States,1976,,red
United_States,1977,,red
United_States,1978,,red
United_States,1979,2.6,red
United_States,1980,,red
United_States,1981,,red
United_States,1982,,red
United_States,1983,,red
United_States,1984,,red
United_States,1985,,red
United_States,1986,1.8,red
United_States,1987,,red
United_States,1988,1.4,red
United_States,1989,,red
United_States,1990,,red
United_States,1991,,red
United_States,1992,1.3,red
United_States,1993,,red
United_States,1994,,red
United_States,1995,,red
United_States,1996,,red
United_States,1997,,red
United_States,1998,,red
United_States,1999,1.2,red
United_States,2000,,red
United_States,2001,,red
United_States,2002,,red
United_States,2003,,red
United_States,2004,,red
United_States,2005,,red
United_States,2006,,red
United_States,2007,,red
United_States,2008,,red
United_States,2009,,red
United_States,2010,,red
United_States,2011,,red
United_States,2012,,red
United_States,2013,,red
United_States,2014,,red
United_States,2015,,red
United_States,2016,,red
United_States,2017,,red
United_States,2018,,red
United_States,2019,,red
United_States,2020,,red
United_Kingdom,1970,,yellow
United_Kingdom,1971,,yellow
United_Kingdom,1972,,yellow
United_Kingdom,1973,,yellow
United_Kingdom,1974,,yellow
United_Kingdom,1975,,yellow
United_Kingdom,1976,,yellow
United_Kingdom,1977,,yellow
United_Kingdom,1978,,yellow
United_Kingdom,1979,,yellow
United_Kingdom,1980,,yellow
United_Kingdom,1981,,yellow
United_Kingdom,1982,,yellow
United_Kingdom,1983,3.1,yellow
United_Kingdom,1984,,yellow
United_Kingdom,1985,,yellow
United_Kingdom,1986,,yellow
United_Kingdom,1987,,yellow
United_Kingdom,1988,,yellow
United_Kingdom,1989,,yellow
United_Kingdom,1990,,yellow
United_Kingdom,1991,,yellow
United_Kingdom,1992,,yellow
United_Kingdom,1993,1.4,yellow
United_Kingdom,1994,,yellow
United_Kingdom,1995,,yellow
United_Kingdom,1996,1.43,yellow
United_Kingdom,1997,,yellow
United_Kingdom,1998,,yellow
United_Kingdom,1999,,yellow
United_Kingdom,2000,1.08,yellow
United_Kingdom,2001,1.57,yellow
United_Kingdom,2002,,yellow
