year,totalF,totalP
2018,207426536,327167434
2016,201565162,323127513
2014,211393167,318857056
2012,210655401,313914040
2010,204283554,308745538
2008,195545109,304059724
2006,184028038,299398484
2004,180632481,293638158
2002,172209735,288125973
2000,161924080,282216952
1992,144217476,256894000
1990,,250132000
1989,135256757,247342000
1988,132422064,245021000
1985,130172334,238466000
1980,115948946,227726000
1975,105338343,215973000
1970,,205052000
1969,88475684,202677000
1967,81925700,198712000
1965,69630100,194303000
1964,56069100,191889000
1963,46742774,189242000
1962,44022968,186538000
1961,42248930,183691000
1960,41192988,180671000
1959,39656090,177830000
1958,38474040,174882000
1957,36288624,171984000
1956,33949503,168903000
1955,26217098,165931000
1954,22334562,163026000
1953,17620240,160184000
1952,13864664,157553000
1951,5110974,154878000
1950,,152271000
1949,,149188000
1948,,146631000
1947,,144126000
1946,,141389000
1945,,139928000
1940,,132122000
